Company Name,Digital Maturity Score,Headquaters,Primary Category,Secondary Category,Peak Sales Month,Avg Revenue/Business,Locations Count,Business Type,Annual Revenue,Tech Spend/month,Business Age,Business Model,Revenue Seasonality,Remote-Only Business,Technologies - CMS,Technologies - Analytics and Tracking,Google My Business - Listed,Google My Business - Claimed,Google Reviews,Google Reviews Count,Google Rating,Nextdoor,Nextdoor_Recommendation,Nextdoor_Neighborhood Favorite,Employee Size,Review(s),Ratings,Open Positions,Security Score,Malware,Sensitive Information Security,Caching Enabled,File Compression,Server Response Time,Website CMS,Data Usage,Toll-Free Number,Technologies - Video Calling Platform,Technologies - Email Platform,Technologies - Help Desk,Technologies - Contact Center,Website Page Count,Mobile Friendly,SEO Score,Trust Flow,Local Presence,Domain Age,Social Score,Facebook Business Page,Facebook Likes,Facebook Check-ins,X (Formerly Twitter) Business Account,X (Formerly Twitter) Followers,Posts,YouTube Channel,LinkedIn Company Page,Pinterest Business Account,Pinterest Followers,Pinterest Following,Pinterest Pins,Pinterest Boards,Pinterest Domain Verified,Pinterest Verified Merchant,Instagram Business Account,Instagram Posts,Instagram Followers,Instagram Following,HomeAdvisor - Business Since,HomeAdvisor - Is Claimed,HomeAdvisor - Services Offered,HomeAdvisor - Ratings,HomeAdvisor - Total Reviews Count,Thumbtack - Category,Thumbtack - Years in Business,Thumbtack - Estimated Cost,Thumbtack - Rating,Thumbtack - Review count,Thumbtack - No of Times Hired,Thumbtack - Remote Service,Thumbtack - Discounts,Uber Eats,Uber Eats - Review count,Uber Eats - Rating,Android App,iOS App,Advertising Score,Google Ads Presence,Google AdWords Cost,Google Ads Traffic,Display Ads,Facebook Ads,HomeAdvisor - Advertising,ThumbTack - Advertising,Del-Return Policy,Reservation,Online Ordering,Reviews,Product Count,Average Product Price,Featured Products,Promotions,Coupons,Buying Page,Selling Page,Rentals Page,Menu,Scheduler,Premium Calculator,Inventory Tracking,Finance,WishList,Order Tracking,Get A Quote,Estimate Page,FB Shop,Amazon Seller,Monthly App Spend,Plan,Technologies - Ecommerce Tools,Payments
Longview Chamber Of Commerce,97,Yes,Organizations & Associations,Chambers Of Commerce,,,3,Commercial,$500K - $1M,$1K - $5K,>10Y,B2C,-,No,WordPress.org,"Google Analytics,Google Analytics 4 (GA4)",Yes,Yes,Yes,8,4.5,Yes,-,No,1 to 10,0,0,0,50,No,Yes,Yes,No,409.06s,WordPress.org,Medium,No,Not Detected,Not Detected,Not Detected,Not Detected,45,Yes,95,28,Yes,"27Y, 9M",100,Yes,"7,912",760,Yes,"1,330","2,069",Yes,Yes,Yes,323,75,164,20,No,No,Yes,633,"2,211",223,,,,,,,,,,,,,,No,-,-,No,No,46,Yes,<$1K,0,Yes,No,,,No,No,No,No,-,-,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,-,-,Not Detected,Not Detected
Gunn Acura,97,Yes,Automobile - Dealers,Automobile Dealers New & Used,"Mar, Apr, May, Sep, Oct, Nov",$38979.62k,1,-,$10M - $25M,-,-,B2C,"Spring, Memorial Day, Labour Day, Fall, Halloween, Veterans Day",No,"Joomla,DealerOn,Bolt",Google Analytics,Yes,Yes,Yes,5266,4.8,Yes,-,No,51 to 100,-,-,-,20,-,Yes,No,No,74s,"Joomla, DealerOn, Bolt",Medium,No,Not Detected,Not Detected,Not Detected,Not Detected,71,Yes,100,18,Yes,"27Y, 10M",100,Yes,-,-,Yes,217,"1,821",Yes,Yes,Yes,0,4,0,0,No,No,Yes,482,337,337,,,,,,,,,,,,,,No,-,-,No,No,55,Yes,$1K - $5K,19,Yes,No,,,No,No,No,Yes,-,-,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-,No,-,-,Not Detected,SynapseFI
Fresno State,97,Yes,Educational Services,Tutoring,,,25,Commercial,$2.5M - $5M,$20K - $50K,-,B2C,-,No,sNews,Google Analytics,Yes,Yes,Yes,533,4.4,Yes,-,No,101 to 200,-,-,7,50,-,Yes,No,Yes,70s,sNews,High,No,Not Detected,Gmail,Not Detected,Not Detected,15,Yes,95,55,Yes,-,100,Yes,"78,278",0,Yes,"77,010","69,473",Yes,Yes,Yes,692,33,667,28,No,No,Yes,52,273,222,,,,,,-,-,-,-,-,-,-,-,No,-,-,No,No,51,Yes,0,35.35,Yes,No,,No,No,No,No,No,-,-,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,-,-,Not Detected,Not Detected
Velocity Mazda,97,Yes,Automobile - Dealers,,"Mar, Apr, May, Sep, Oct, Nov",$38979.62k,1,Commercial,$5M - $10M,$1K - $5K,-,B2C,"Spring, Memorial Day, Labour Day, Fall, Halloween, Veterans Day",No,"Joomla,DealerOn,Bolt",Google Analytics,Yes,Yes,Yes,247,4.5,Yes,3,No,11 to 50,0,0,0,80,No,Yes,Yes,No,97s,"Joomla, DealerOn, Bolt",Medium,No,Not Detected,Not Detected,Not Detected,Not Detected,73,Yes,100,12,Yes,"11Y, 8M",100,Yes,"1,451",806,Yes,24,316,Yes,Yes,Yes,6,15,43,10,No,No,Yes,217,296,95,,,,,,,,,,,,,,No,-,-,No,No,51,No,0,0,-,Yes,,,Yes,No,No,No,-,-,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,-,-,Not Detected,Not Detected
Rooter Guard,97,Yes,Contractors - Plumbers & Plumbing,Plumbing Contractors,"Apr, Jul",$889.20k,3,Commercial,$5M - $10M,$1K - $5K,-,B2B & B2C,"Spring, Summer",No,"WordPress.org,Joomla,Squarespace,Bolt",Google Analytics,Yes,Yes,Yes,221,4.4,Yes,3,No,11 to 50,0,0,0,80,No,Yes,No,No,445.609s,"WordPress.org, Joomla, Squarespace, Bolt",Medium,No,Not Detected,Outlook,Not Detected,Not Detected,61,Yes,100,10,Yes,"12Y, 6M",100,Yes,3,0,Yes,87,183,Yes,Yes,Yes,357,816,539,23,No,No,Yes,207,556,"1,427",2013,Yes,"Clear Sewer Main, Clear Drain Clog or Blockage, Drain Line Breakage Camera Locate, Sewer Main Install or Replace",Array,15,-,-,-,-,-,-,-,-,No,-,-,No,No,46,Yes,<$1K,1,No,No,Yes,No,Yes,No,No,Yes,-,-,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,-,-,Not Detected,Not Detected
Valley Subaru Of Longmont,97,Yes,Automobile - Dealers,,"Mar, Apr, May, Sep, Oct, Nov",$38979.62k,1,Commercial,$10M - $25M,$1K - $5K,-,B2C,"Spring, Memorial Day, Labour Day, Fall, Halloween, Veterans Day",No,"Joomla,DealerOn,Bolt","CrazyEgg,Google Analytics",Yes,Yes,Yes,905,4.4,Yes,10,No,101 to 200,-,-,7,20,-,Yes,No,No,0s,"Joomla, DealerOn, Bolt",Medium,No,YouTube,Not Detected,Not Detected,Not Detected,118,Yes,100,24,Yes,"25Y, 9M",100,Yes,"1,629",663,Yes,430,933,Yes,Yes,Yes,-,-,-,-,No,No,Yes,-,-,-,,,,,,,,,,,,,,No,-,-,No,No,56,Yes,<$1K,0,Yes,Yes,,,No,No,Yes,Yes,-,-,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,-,-,Not Detected,Not Detected
Hotel Casa Del Mar,97,Yes,Restaurants,Restaurants Seafood,"Apr, May, Jul, Dec",$909.99k,9,Commercial,$10M - $25M,$5K - $20K,>10Y,B2C,"Spring, Memorial Day, Summer, Xmas, Winter",No,WordPress.org,Google Analytics,Yes,Yes,Yes,1551,4.6,Yes,1,No,201 to 500,0,0,0,20,-,Yes,No,No,227.067s,WordPress.org,Medium,No,Not Detected,Outlook,Not Detected,Not Detected,36,Yes,95,52,Yes,"26Y, 1M",100,Yes,"19,394","68,395",Yes,"9,795","5,760",Yes,Yes,Yes,528,76,"1,360",30,No,No,Yes,"2,744","17,672","2,513",,,,,,,,,,,,,,No,-,-,No,No,51,Yes,<$1K,26,Yes,Yes,,,No,Yes,No,No,-,-,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,-,-,Not Detected,Not Detected
Audi Riverside,97,Yes,Automobile - Dealers,,"Mar, Apr, May, Sep, Oct, Nov",$38979.62k,1,Commercial,$10M - $25M,$0 - $1K,>10Y,B2C,"Spring, Memorial Day, Labour Day, Fall, Halloween, Veterans Day",No,,Google Analytics,Yes,-,-,-,-,No,-,-,11 to 50,0,0,0,50,-,Yes,No,No,0s,Not Detected,Medium,Yes,Not Detected,Not Detected,Not Detected,Not Detected,116,Yes,100,10,Yes,"2Y, 4M",100,Yes,"13,294","2,218",Yes,-,-,Yes,Yes,Yes,2,5,81,15,No,No,Yes,-,-,-,,,,,,,,,,,,,,No,-,-,No,No,56,Yes,<$1K,87.69,Yes,Yes,,,Yes,No,No,Yes,-,-,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,-,-,Not Detected,Not Detected
Sundial Assisted Living,97,Yes,Retirement & Assisted Living Facilities,Assisted Living Facilities,"Oct, Nov, Dec",$0.00k,1,Residential,$1M - $2.5M,$0 - $1K,-,B2C,"Fall, Halloween, Veterans Day, Xmas, Winter",No,WordPress.org,Google Analytics,Yes,Yes,Yes,21,4.7,Yes,-,No,11 to 50,0,0,0,50,-,Yes,No,No,83s,WordPress.org,Medium,No,Not Detected,Not Detected,Not Detected,Not Detected,16,Yes,100,2,Yes,"11Y, 5M",100,Yes,"1,132",0,Yes,24,228,Yes,Yes,Yes,405,68,563,30,No,No,Yes,37,262,60,,,,,,,,,,,,,,No,-,-,No,No,41,Yes,<$1K,187.89,No,No,,,No,No,No,Yes,-,-,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-,-,Not Detected,Not Detected
Beach Lincoln Parts,97,Yes,Automobile - Parts & Accessories,,"Sep, Nov, Dec",$1681.89k,1,Commercial,$5M - $10M,$1K - $5K,-,B2B & B2C,"Labour Day, Fall, Veterans Day, Xmas, Winter",No,"Joomla,DealerOn,Bolt","Google Analytics,Hotjar",Yes,Yes,Yes,1,5,Yes,-,No,11 to 50,0,0,0,80,No,Yes,No,No,41.235s,"Joomla, DealerOn, Bolt",Medium,No,Not Detected,Not Detected,Not Detected,Not Detected,71,Yes,100,3,Yes,"13Y, 1M",100,Yes,"5,280","2,139",Yes,760,"35,621",Yes,Yes,Yes,136,28,567,31,No,No,Yes,"3,939","1,192","5,778",,,,,,,,,,,,,,No,-,-,No,No,51,Yes,<$1K,57.01,No,Yes,,,Yes,No,No,Yes,-,-,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,-,-,Not Detected,Not Detected
Nwsp Spokane,97,Yes,Glass Products & Services,Windows Tinting,"Oct, Nov, Dec",$0.00k,1,Commercial,$1M - $2.5M,$1K - $5K,-,B2C,"Fall, Halloween, Veterans Day, Xmas, Winter",No,"Bolt,Jarn,SiteEdit",Google Analytics,Yes,Yes,Yes,177,4.9,No,-,-,1 to 10,0,0,0,20,-,Yes,No,No,0s,"Bolt, Jarn, SiteEdit",Medium,No,Not Detected,Gmail,Not Detected,Not Detected,11,Yes,95,10,Yes,"7Y, 7M",100,Yes,"1,092",192,Yes,0,4,Yes,Yes,Yes,0,1,0,0,No,No,Yes,"2,125","11,562","1,812",-,-,-,-,-,-,-,-,-,-,-,-,-,No,-,-,No,No,46,No,0,0,No,No,-,No,No,Yes,No,Yes,17,-,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,-,-,Not Detected,Not Detected
Beach Ford Parts Department,97,Yes,Automobile - Parts & Accessories,Automobile Parts & Supplies Retail,"Sep, Nov, Dec",$1681.89k,1,Commercial,$5M - $10M,$1K - $5K,-,B2B & B2C,"Labour Day, Fall, Veterans Day, Xmas, Winter",No,"Joomla,DealerOn,Bolt",Google Analytics,Yes,Yes,No,0,-,Yes,-,No,11 to 50,-,-,7,50,No,Yes,Yes,No,110.638s,"Joomla, DealerOn, Bolt",Medium,No,Not Detected,Not Detected,Not Detected,Not Detected,84,Yes,100,17,Yes,"15Y, 9M",100,Yes,"5,280","2,139",Yes,760,"35,621",Yes,Yes,Yes,136,28,567,31,No,No,Yes,2,29,0,,,,,,,,,,,,,,No,-,-,No,No,51,Yes,<$1K,0,No,Yes,,,No,No,No,Yes,-,-,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,-,-,Not Detected,Not Detected
Porsche Fresno,97,Yes,Automobile - Dealers,,"Mar, Apr, May, Sep, Oct, Nov",$38979.62k,1,Commercial,$10M - $25M,> $500K,-,B2C,"Spring, Memorial Day, Labour Day, Fall, Halloween, Veterans Day",No,,Google Analytics,Yes,No,No,0,-,No,-,-,11 to 50,0,0,0,80,No,Yes,No,No,24.76s,Not Detected,Medium,No,YouTube,Not Detected,Not Detected,Not Detected,49,Yes,100,8,Yes,"12Y, 2M",100,Yes,"2,847","2,483",Yes,263,537,Yes,Yes,Yes,"105,457",778,"1,146",16,No,No,Yes,203,"308,413",181,,,,,,,,,,,,,,No,-,-,No,No,50,Yes,$1K - $5K,1,No,Yes,,,No,No,No,Yes,-,-,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,-,-,Not Detected,Not Detected
777 Exotics - Luxury Car Rental Los Angeles,97,Yes,Automobile - Rentals,Rent A Car Van Truck,"Jul, Aug, Sep",$0.00k,1,Commercial,$5M - $10M,-,-,B2C,"Winter, Valentine, Xmas",No,WordPress.org,"Google Analytics,Clicky,Google Analytics 4 (GA4)",Yes,Yes,Yes,145,4.6,No,-,-,11 to 50,0,0,0,50,-,Yes,No,No,163s,WordPress.org,Medium,Yes,Not Detected,Not Detected,Not Detected,Not Detected,58,Yes,95,9,Yes,"9Y, 9M",100,Yes,"4,795",259,Yes,60,369,Yes,Yes,Yes,19,5,46,9,No,No,Yes,782,"22,442",124,,,,,,,,,,,,,,No,-,-,No,No,50,Yes,$1K - $5K,12,Yes,No,,,Yes,Yes,No,No,8,$25,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,-,-,Not Detected,SynapseFI
Islander Resort,97,Yes,Restaurants,,"Apr, May, Jul, Dec",$909.99k,1,Commercial,$2.5M - $5M,-,-,B2C,"Spring, Memorial Day, Summer, Xmas, Winter",No,NextGuest Digital,Google Analytics,Yes,Yes,Yes,1300,4.4,Yes,2,No,11 to 50,0,0,0,20,-,Yes,No,Yes,0s,NextGuest Digital,Medium,Yes,Not Detected,Outlook,Not Detected,Not Detected,59,Yes,100,41,Yes,"25Y, 3M",100,Yes,"17,746","20,478",Yes,266,83,Yes,Yes,Yes,46,28,49,10,No,No,Yes,114,161,378,,,,,,,,,,,,,,No,-,-,No,No,46,Yes,<$1K,310,Yes,No,,,No,Yes,No,No,-,-,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-,-,Not Detected,Not Detected
Austin Parks Foundation,97,Yes,Sports Clubs,Community Organizations,"Jan, Feb",$3766.90k,21,-,-,-,-,B2C,"Winter, Valentine",No,WordPress.org,"Google Analytics,Hotjar,Google Analytics 4 (GA4)",Yes,Yes,Yes,4,5,No,-,-,-,-,-,1,50,-,Yes,No,No,51s,WordPress.org,High,No,Not Detected,Gmail,Not Detected,Not Detected,67,Yes,95,44,Yes,"24Y, 7M",100,Yes,"15,814",114,Yes,"7,199","6,482",Yes,Yes,Yes,125,72,64,5,No,No,Yes,"1,978","26,889",692,,,,,,,,,,,,,,No,-,-,No,No,61,No,0,0,Yes,Yes,,,No,Yes,No,No,22,$32,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,$1K - $5K,-,Not Detected,Not Detected
Vida Aesthetic Medicine,97,Yes,"Hospitals, Clinics & Medical Centers",Medical Spas,"Jan, Feb, Mar",$793.16k,1,-,$2.5M - $5M,-,-,B2C,"Winter, Valentine, Spring",No,WordPress.org,Google Analytics,Yes,Yes,Yes,299,4.9,No,-,-,11 to 50,0,0,0,50,-,Yes,No,No,4008s,WordPress.org,Medium,No,Not Detected,Outlook,Not Detected,Not Detected,61,Yes,100,7,Yes,"17Y, 6M",100,Yes,"2,159",0,Yes,99,635,Yes,Yes,Yes,0,0,0,0,No,No,Yes,"1,128","2,165","1,448",,,,,,,,,,,,,,No,-,-,No,No,70,Yes,$50K - $100K,11.1K,Yes,Yes,,,No,Yes,No,Yes,139,-,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,-,-,Not Detected,Not Detected
